name;location
156 - Øster Åby Friskole at Svendborg (7,7);Øster Åby Friskole
157 - Nr. Asmindrup Friskole at Odsherred (7,7);Nr. Asmindrup Friskole
158 - Randers Realskole at Randers (7,7);Randers Realskole
159 - Landsbyskolen at København (7,7);Landsbyskolen
160 - Landsgrav Friskole at Slagelse (7,7);Landsgrav Friskole
161 - Haderslev Kristne Friskole at Haderslev (7,7);Haderslev Kristne Friskole
162 - Mentiqa-Nordjylland at Aalborg (7,7);Mentiqa-Nordjylland
163 - Rønne Privatskole at Bornholm (7,7);Rønne Privatskole
164 - Skt Knuds Skole at Aarhus (7,7);Skt Knuds Skole
165 - Friskolen Øster Egesborg at Vordingborg (7,7);Friskolen Øster Egesborg
166 - Den Kristne Friskole i Holstebro at Holstebro (7,7);Den Kristne Friskole i Holstebro
167 - Sankt Annæ Skole at København (7,7);Sankt Annæ Skole
168 - Skørbæk-Ejdrup Friskole at Aalborg (7,7);Skørbæk-Ejdrup Friskole
169 - Hammer Frie Privatskole at Næstved (7,7);Hammer Frie Privatskole
170 - Marie Jørgensens Skole at Odense (7,7);Marie Jørgensens Skole
171 - Kildeskolen at København (7,7);Kildeskolen
172 - Druestrup Friskole at Faxe (7,6);Druestrup Friskole
173 - Langtved Friskole at Nyborg (7,6);Langtved Friskole
174 - Rønde Privatskole at Syddjurs (7,6);Rønde Privatskole
175 - Selam Privatskole at Aarhus (7,6);Selam Privatskole
176 - Sct. Michaels Skole at Kolding (7,6);Sct. Michaels Skole
177 - Friskolen Østerlars at Bornholm (7,6);Friskolen Østerlars
178 - Lødderup Friskole at Morsø (7,6);Lødderup Friskole
179 - Oure Friskole at Svendborg (7,6);Oure Friskole
180 - As Friskole at Hedensted (7,6);As Friskole
181 - Tybjerg Privatskole at Næstved (7,6);Tybjerg Privatskole
182 - Sværdborg Friskole at Vordingborg (7,6);Sværdborg Friskole
183 - Randers Lille Skole at Randers (7,6);Randers Lille Skole
184 - Holbæk Private Realskole at Holbæk (7,6);Holbæk Private Realskole
185 - Deutsche Schule Hadersleben at Haderslev (7,6);Deutsche Schule Hadersleben
186 - Vejle Friskole at Vejle (7,6);Vejle Friskole
187 - Syddjurs Friskole at Syddjurs (7,5);Syddjurs Friskole
188 - Ollerup Friskole at Svendborg (7,5);Ollerup Friskole
189 - Stepping Friskole at Kolding (7,5);Stepping Friskole
190 - Vor Frue Skole at Næstved (7,5);Vor Frue Skole
191 - Brovandeskolen, Den Lille Skole i Skagen at Frederikshavn (7,5);Brovandeskolen, Den Lille Skole i Skagen
192 - Byens Skole at København (7,5);Byens Skole
193 - Lyngbjerggårdskolen at Aalborg (7,5);Lyngbjerggårdskolen
194 - Markusskolen at Esbjerg (7,5);Markusskolen
195 - Vinderød Privatskole at Halsnæs (7,5);Vinderød Privatskole
196 - Amager Lille Skole at København (7,5);Amager Lille Skole
197 - Sct. Joseph Søstrenes Skole at Guldborgsund (7,5);Sct. Joseph Søstrenes Skole
198 - Per Gyrum Skolen at Fredensborg (7,5);Per Gyrum Skolen
199 - Vinderup Realskole at Holstebro (7,5);Vinderup Realskole
200 - International School of Hellerup at København (7,5);International School of Hellerup
201 - Ludwig-Andresen-Schule at Tønder (7,5);Ludwig-Andresen-Schule
202 - Sæby-Hallenslev Friskole at Kalundborg (7,5);Sæby-Hallenslev Friskole
203 - Friskolen - Østerlund at Sønderborg (7,5);Friskolen - Østerlund
204 - Børnenes Friskole at Aarhus (7,5);Børnenes Friskole
205 - Freinet-Skolen at København (7,5);Freinet-Skolen
206 - Copenhagen City School at København (7,4);Copenhagen City School
